Initial makespan = 2792, Initial flowtime = 0, runtime = 43.3195
Iteration 237, Neighborhood size 8, Makespan = 1482, Flowtime = 0, Runtime = 54
Iteration 238, Neighborhood size 8, Makespan = 1479, Flowtime = 0, Runtime = 54
Iteration 240, Neighborhood size 8, Makespan = 1478, Flowtime = 0, Runtime = 54
Iteration 241, Neighborhood size 8, Makespan = 1472, Flowtime = 0, Runtime = 54
Iteration 242, Neighborhood size 8, Makespan = 1466, Flowtime = 0, Runtime = 54
Iteration 245, Neighborhood size 8, Makespan = 1461, Flowtime = 0, Runtime = 55
Iteration 246, Neighborhood size 8, Makespan = 1460, Flowtime = 0, Runtime = 55
Iteration 248, Neighborhood size 8, Makespan = 1451, Flowtime = 0, Runtime = 55
Iteration 252, Neighborhood size 8, Makespan = 1446, Flowtime = 0, Runtime = 55
Iteration 254, Neighborhood size 8, Makespan = 1445, Flowtime = 0, Runtime = 55
Iteration 255, Neighborhood size 8, Makespan = 1443, Flowtime = 0, Runtime = 55
Iteration 257, Neighborhood size 8, Makespan = 1442, Flowtime = 0, Runtime = 55
Iteration 260, Neighborhood size 8, Makespan = 1438, Flowtime = 0, Runtime = 55
Iteration 263, Neighborhood size 8, Makespan = 1436, Flowtime = 0, Runtime = 55
Iteration 266, Neighborhood size 8, Makespan = 1434, Flowtime = 0, Runtime = 55
Iteration 268, Neighborhood size 8, Makespan = 1433, Flowtime = 0, Runtime = 56
Iteration 271, Neighborhood size 8, Makespan = 1428, Flowtime = 0, Runtime = 56
Iteration 272, Neighborhood size 8, Makespan = 1425, Flowtime = 0, Runtime = 56
Iteration 273, Neighborhood size 8, Makespan = 1424, Flowtime = 0, Runtime = 56
Iteration 274, Neighborhood size 8, Makespan = 1419, Flowtime = 0, Runtime = 56
Iteration 275, Neighborhood size 8, Makespan = 1418, Flowtime = 0, Runtime = 56
Iteration 284, Neighborhood size 8, Makespan = 1417, Flowtime = 0, Runtime = 56
Iteration 285, Neighborhood size 8, Makespan = 1416, Flowtime = 0, Runtime = 56
Iteration 286, Neighborhood size 8, Makespan = 1414, Flowtime = 0, Runtime = 56
Iteration 290, Neighborhood size 8, Makespan = 1411, Flowtime = 0, Runtime = 56
Iteration 293, Neighborhood size 8, Makespan = 1410, Flowtime = 0, Runtime = 57
Iteration 299, Neighborhood size 8, Makespan = 1404, Flowtime = 0, Runtime = 57
